,City,Country,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
624,Koryazhma,RU,61.31,47.17,11.61,11.61,94,89,5.37,overcast clouds
411,Turka,RU,52.95,108.22,11.66,11.66,61,62,9.17,broken clouds
167,Kologriv,RU,58.83,44.32,11.7,11.7,96,95,3.04,overcast clouds
75,Nikolskoye,RU,59.7,30.79,-0.51,11.8,89,90,7.18,overcast clouds
306,Mehamn,NO,71.04,27.85,10.35,12.11,67,75,14.97,broken clouds
351,Berlevåg,NO,70.86,29.09,8.4,12.15,62,81,16.11,broken clouds
53,Vardø,NO,70.37,31.11,12.18,12.18,79,11,23.02,few clouds
160,Vanavara,RU,60.34,102.28,12.18,12.18,93,100,14.99,snow
132,Barrow,US,71.29,-156.79,12.22,12.22,85,100,16.11,overcast clouds
524,Kargil,IN,34.57,76.1,12.45,12.45,71,65,2.1,broken clouds
416,Östersund,SE,63.18,14.64,10.85,12.61,79,83,7,broken clouds
573,Hofn,IS,64.25,-15.21,13.3,13.3,63,0,20.02,clear sky
142,Kosino,RU,58.41,51.28,13.71,13.71,93,55,7.83,broken clouds
669,Kyra,RU,49.58,111.98,13.71,13.71,55,49,21.68,scattered clouds
27,Longyearbyen,SJ,78.22,15.64,13.84,13.84,62,75,19.57,broken clouds
609,Shilka,RU,51.85,116.03,13.84,13.84,54,100,15.32,overcast clouds
280,Haines Junction,CA,60.75,-137.51,13.95,13.95,57,100,3.44,overcast clouds
235,Husavik,IS,66.04,-17.34,14.49,14.49,70,100,20.02,light snow
11,Okhotsk,RU,59.38,143.3,14.79,14.79,88,100,3.71,overcast clouds
395,Nizhniye Vyazovyye,RU,55.8,48.52,14.94,14.94,94,95,3.2,overcast clouds
76,Nuuk,GL,64.18,-51.72,15.13,15.13,83,68,8.23,broken clouds
456,Chapais,CA,49.78,-74.85,15.58,15.58,95,100,7.76,overcast clouds
328,Maniitsoq,GL,65.42,-52.9,15.58,15.58,79,54,8.46,broken clouds
123,Beringovskiy,RU,63.05,179.32,16.18,16.18,85,100,6.51,overcast clouds
269,Erzin,RU,50.26,95.16,16.68,16.68,69,72,4.59,broken clouds
289,Vestmannaeyjar,IS,63.44,-20.27,17.51,17.51,53,25,13.31,scattered clouds
435,Ilulissat,GL,69.22,-51.1,17.62,17.62,38,3,17.27,clear sky
317,Umba,RU,66.69,34.34,17.78,17.78,91,95,8.7,overcast clouds
659,Qaqortoq,GL,60.72,-46.03,17.78,17.78,70,49,10,scattered clouds
397,Roblin,CA,51.23,-101.36,18.75,18.75,92,100,16.4,overcast clouds
233,Petropavlovka,RU,50.61,105.32,18.82,18.82,59,11,4.76,few clouds
542,Paide,EE,58.89,25.56,19.22,19.22,89,100,10.6,overcast clouds
500,Olafsvik,IS,64.89,-23.71,19.29,19.29,59,100,19.98,overcast clouds
222,Pskov,RU,57.81,28.35,18.91,19.31,73,75,11.18,light snow
362,Kodinsk,RU,58.69,99.18,20.39,20.39,87,100,12.15,light snow
121,Baykit,RU,61.67,96.37,20.46,20.46,93,100,7.47,light snow
6,Oxbow,CA,49.23,-102.17,20.64,20.64,92,100,24.92,light snow
263,Honningsvåg,NO,70.98,25.97,20.95,20.95,68,61,17.27,broken clouds
527,Moosomin,CA,50.13,-101.67,20.95,20.95,93,100,19.91,light snow
442,Keminmaa,FI,65.86,24.82,20.97,20.97,93,75,10.36,broken clouds
673,Mishelevka,RU,52.86,103.17,21.04,21.04,64,79,8.48,broken clouds
140,Ola,RU,59.58,151.28,21.15,21.15,87,12,1.99,few clouds
157,Chunskiy,RU,56.08,99.63,21.31,21.31,80,100,8.61,overcast clouds
20,Havøysund,NO,71,24.66,21.43,21.43,84,66,31.16,light snow
179,Lavrentiya,RU,65.58,-171,21.43,21.43,97,100,3.4,light snow
610,Pangody,RU,65.85,74.49,21.56,21.56,96,100,10.47,light snow
468,Paamiut,GL,61.99,-49.67,21.78,21.78,81,100,8.32,overcast clouds
223,Vestmanna,FO,62.16,-7.17,22.12,22.12,58,75,16.11,light snow
498,Bridgetown,CA,44.84,-65.29,17.74,22.48,89,12,1.88,few clouds
398,Kholm-Zhirkovskiy,RU,55.52,33.47,22.77,22.77,95,100,16.4,snow
484,Vaxjo,SE,56.88,14.81,21.25,23.05,93,75,4.61,broken clouds
115,Saint-Marc-des-Carrieres,CA,46.68,-72.05,23.07,23.07,74,99,5.75,overcast clouds
175,Albanel,CA,48.88,-72.45,23.41,23.41,81,87,8.63,overcast clouds
299,Hammerfest,NO,70.66,23.68,23.45,23.45,63,75,16.11,snow
139,Imeni Poliny Osipenko,RU,52.42,136.49,23.9,23.9,92,100,4.27,light snow
22,Klaksvík,FO,62.23,-6.59,23.92,23.92,61,99,22.48,light snow
207,Argir,FO,62,-6.77,23.97,23.97,64,76,11.72,broken clouds
407,Halifax,CA,44.65,-63.57,18.68,24.51,85,7,1.99,clear sky
298,Liverpool,CA,44.03,-64.72,22.23,24.55,87,8,5.75,clear sky
370,Steinbach,CA,49.53,-96.68,20.71,24.64,86,100,13.4,overcast clouds
548,Wells,US,47.6,-99.65,22.93,24.73,94,100,22.06,snow
584,Sept-Îles,CA,50.2,-66.38,23.43,24.8,57,0,9.22,clear sky
320,Katav-Ivanovsk,RU,54.75,58.2,24.89,24.89,92,100,8.19,overcast clouds
541,Andenes,NO,69.31,16.12,24.78,24.93,80,75,25.32,light shower snow
2,Sitka,US,57.05,-135.33,24.96,24.96,66,100,9.17,overcast clouds
208,Severo-Yeniseyskiy,RU,60.37,93.04,25,25,91,100,13.98,overcast clouds
486,Elko,US,41,-115.5,25.05,25.05,92,44,4.12,scattered clouds
675,Shelburne,CA,44.08,-80.2,21.96,25.25,86,100,12.8,overcast clouds
118,Nanortalik,GL,60.14,-45.24,25.38,25.38,74,33,9.31,scattered clouds
577,Boguchany,RU,58.38,97.45,25.9,25.9,85,100,11.97,overcast clouds
267,Havre-St-Pierre,CA,50.23,-63.6,25.97,25.97,71,11,11.86,few clouds
463,Bud,NO,62.91,6.91,26.55,26.55,68,100,13.67,light snow
620,Saint-Hubert,BE,50.05,5.38,24.03,26.62,96,80,1.05,broken clouds
394,Gravdal,NO,68.12,13.5,26.64,26.64,58,99,10.38,overcast clouds
194,Bakaly,RU,55.18,53.8,26.67,26.67,87,98,11.3,overcast clouds
628,Stornoway,GB,58.21,-6.39,22.96,26.92,84,20,1.14,few clouds
598,Aberdeen,US,45.46,-98.49,25.3,27.07,87,100,19.57,snow
329,Uzhur,RU,55.3,89.83,27.14,27.14,83,28,8.79,scattered clouds
169,Kingston,CA,44.23,-76.48,26.17,27.14,87,100,13.51,overcast clouds
670,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,26.78,27.19,69,75,4.47,broken clouds
278,Florø,NO,61.6,5.03,23.07,27.97,93,100,24.16,light shower snow
656,Jamestown,US,42.1,-79.24,25.95,28.02,97,100,12.66,light snow
283,Aylmer,CA,42.77,-80.98,26.92,28.06,91,99,12.5,overcast clouds
96,Sørland,NO,67.67,12.69,28.26,28.26,46,67,12.12,light snow
78,Pokrovo-Prigorodnoye,RU,52.68,41.42,28.33,28.33,77,90,10.74,overcast clouds
38,Oshkosh,US,44.02,-88.54,22.14,28.49,77,100,13.8,overcast clouds
86,Svetlogorsk,RU,54.94,20.15,28,28.51,95,100,18.48,snow
254,Surgut,RU,61.25,73.42,28.09,28.58,79,40,13.42,scattered clouds
80,Yarmouth,CA,43.83,-66.12,26.13,28.62,85,0,5.75,clear sky
220,Rtishchevo,RU,52.26,43.79,28.92,28.92,81,69,9.6,broken clouds
126,Provideniya,RU,64.38,-173.3,29.07,29.07,99,100,7.14,light snow
424,Brae,GB,60.4,-1.35,29.37,29.37,59,99,19.6,light snow
284,Kargasok,RU,59.06,80.86,29.55,29.55,77,93,13.15,overcast clouds
347,Barabinsk,RU,55.36,78.36,29.61,29.61,83,100,13.82,overcast clouds
158,Ballybofey,IE,54.8,-7.78,29.68,29.68,95,100,1.88,light snow
231,Lerwick,GB,60.15,-1.15,30.2,30.2,59,99,18.99,light snow
672,Gemeente Geertruidenberg,NL,51.69,4.88,25.97,31.05,85,100,1.14,overcast clouds
389,Cherlak,RU,54.16,74.81,31.44,31.44,89,100,10,light snow
21,Wipperfürth,DE,51.12,7.4,27.82,31.51,98,100,2.86,overcast clouds
551,Vostok,RU,46.49,135.88,31.68,31.68,92,100,2.93,overcast clouds
485,Karasuk,RU,53.74,78.04,31.84,31.84,76,100,16.71,overcast clouds
3,Bonavista,CA,48.65,-53.11,31.86,31.86,97,100,25.88,snow
487,Oswego,US,43.45,-76.15,27.09,31.91,92,100,7.25,overcast clouds
7,Severo-Kuril'sk,RU,50.68,156.12,31.93,31.93,85,100,2.59,overcast clouds
318,Nakskov,DK,54.84,11.13,32.11,32.14,83,97,20.62,light snow
94,Madison Heights,US,42.49,-83.11,29.35,32.27,82,100,6.91,overcast clouds
658,Nemuro,JP,43.32,145.57,32.36,32.36,84,13,12.93,few clouds
505,Pirovskoye,RU,57.63,92.27,32.45,32.45,89,55,11.72,broken clouds
290,Helsinge,DK,56.02,12.2,29.12,32.68,86,100,1.01,light snow
186,Roald,NO,62.58,6.13,25.72,32.76,93,75,12.66,light shower snow
596,Tieli,CN,46.95,128.05,32.88,32.88,32,9,17.13,clear sky
493,Kruszwica,PL,52.68,18.33,31.77,33.15,94,95,12.35,overcast clouds
619,Fostoria,US,41.16,-83.42,30.38,33.22,95,84,8.79,broken clouds
645,Xining,CN,36.62,101.77,33.35,33.35,67,100,9.48,light snow
102,Torbay,CA,47.67,-52.73,31.15,33.58,93,100,23.02,light snow
197,Kuminskiy,RU,58.67,66.57,33.73,33.73,96,56,14.09,light snow
464,Saint-Pierre,PM,46.77,-56.17,33.76,33.76,80,75,21.85,broken clouds
426,Severnyy,RU,50.68,36.55,32.92,33.84,100,100,8.99,heavy intensity drizzle
249,Narsaq,GL,60.92,-46.05,34.02,34.02,68,28,10.22,scattered clouds
262,Pleszew,PL,51.9,17.79,34.23,34.23,97,100,14.92,snow
178,Shar,KZ,49.59,81.05,34.23,34.23,61,100,23.96,overcast clouds
518,Ballina,IE,54.12,-9.17,32.36,34.72,89,100,13.13,light snow
462,Atasū,KZ,48.68,71.64,34.99,34.99,98,100,2.53,snow
556,Moundsville,US,39.92,-80.74,31.84,35.15,83,100,9.98,overcast clouds
473,Evansville,US,37.97,-87.56,30.63,35.6,84,0,1.01,clear sky
355,Hereford,GB,52.06,-2.71,27.21,36.05,92,98,2.55,overcast clouds
653,Deggendorf,DE,48.83,12.97,31.39,36.25,74,75,15.08,broken clouds
594,Belaya,RU,51.05,35.72,36.59,36.59,85,15,11.65,few clouds
205,Preobrazheniye,RU,42.9,133.91,36.73,36.73,91,100,5.39,overcast clouds
507,Macusani,PE,-14.08,-70.43,36.77,36.77,85,90,2.91,overcast clouds
81,Saint Paul Harbor,US,57.79,-152.41,36.91,36.91,35,0,24.16,clear sky
534,Hamilton,US,39.18,-84.53,34.65,37.24,74,100,9.22,overcast clouds
445,Kaitong,CN,44.81,123.15,37.56,37.56,13,44,18.1,scattered clouds
436,Gornorechenskiy,RU,44.26,135.11,37.69,37.69,87,100,0.69,overcast clouds
453,Palmer,US,42.16,-72.33,33.19,37.85,84,100,1.01,moderate rain
155,East Stroudsburg,US,41,-75.18,31.91,37.99,93,100,4.43,overcast clouds
400,Kirovskiy,RU,45.09,133.51,38.12,38.12,86,99,0.69,overcast clouds
264,Ürümqi,CN,43.8,87.6,38.35,38.35,60,0,8.95,clear sky
62,Linxia Chengguanzhen,CN,35.6,103.21,38.37,38.37,36,100,9.71,overcast clouds
204,West Wendover,US,40.74,-114.07,38.41,38.41,45,0,16.11,clear sky
143,Panjāb,AF,34.39,67.02,38.55,38.55,94,61,1.39,broken clouds
631,Novopokrovka,RU,45.85,134.51,38.77,38.77,59,100,6.51,overcast clouds
23,Ushuaia,AR,-54.8,-68.3,38.86,38.86,70,40,8.05,light rain
145,Tongliao,CN,43.61,122.27,39.29,39.29,12,100,11.01,overcast clouds
375,Pingzhuang,CN,42.04,119.29,39.33,39.33,14,100,6.44,overcast clouds
237,Bethel,US,41.37,-73.41,31.35,39.56,86,100,5.75,snow
482,Zhangye,CN,38.93,100.45,40.15,40.15,27,13,3.62,few clouds
108,Fortuna,US,40.6,-124.16,36.93,40.35,95,0,5.75,clear sky
109,Baiyin,CN,36.56,104.21,40.51,40.51,17,100,21.61,overcast clouds
615,Glamoč,BA,44.05,16.85,40.6,40.6,99,99,4.79,overcast clouds
526,Craig,US,40.52,-107.55,35.38,40.62,70,100,20.71,overcast clouds
574,Eureka,US,40.8,-124.16,37.2,40.62,93,5,1.01,clear sky
559,Ketchikan,US,55.34,-131.65,36.07,40.98,48,40,5.75,scattered clouds
531,Great Bend,US,38.36,-98.76,37.85,41.04,72,0,21.85,clear sky
650,Yumen,CN,40.28,97.2,41.16,41.16,17,3,15.57,clear sky
33,Punta Arenas,CL,-53.15,-70.92,41.25,41.25,63,32,17.05,scattered clouds
392,Walla Walla,US,46.06,-118.34,34.5,41.36,68,75,13.8,broken clouds
322,Cortez,US,37.35,-108.59,37.04,41.76,91,100,3.44,overcast clouds
274,Choya,RU,52.01,86.55,42.33,42.33,54,87,4.16,overcast clouds
600,Dingle,IE,52.14,-10.27,42.49,42.49,91,100,8.7,overcast clouds
439,Huadian,CN,42.96,126.75,42.58,42.58,19,99,6.46,overcast clouds
201,Smila,UA,49.22,31.89,45.21,45.21,75,100,12.86,overcast clouds
606,Markivka,UA,49.52,39.57,45.7,45.7,91,86,10.25,overcast clouds
621,Huanren,CN,41.26,125.37,45.93,45.93,17,100,8.41,overcast clouds
349,Miyako,JP,39.64,141.95,46.81,46.81,65,17,5.75,few clouds
356,Fulton,US,33.77,-84.45,43.05,47.52,64,0,13.8,clear sky
241,Komsomol'skiy,RU,43.98,46.7,47.75,47.75,71,77,11.99,broken clouds
192,Kyzyl-Suu,KG,42.34,78.01,48,48,70,13,1.1,few clouds
353,Tarumovka,RU,44.08,46.54,48.13,48.13,71,75,10.87,broken clouds
366,Puertollano,ES,38.69,-4.11,44.96,49.15,95,67,3.49,broken clouds
649,Iancu Jianu,RO,44.5,24.03,49.48,50.52,96,100,8.97,overcast clouds
124,Korla,CN,41.76,86.15,50.92,50.92,11,10,5.88,clear sky
255,Hachinohe,JP,40.5,141.5,51.06,51.06,52,20,8.05,few clouds
569,Calama,CL,-22.47,-68.93,52.29,52.29,71,0,4.61,clear sky
552,Vânători,RO,45.73,27.25,52.59,52.59,83,71,8.34,broken clouds
83,Arrondissement de Valence,FR,45,5,45.27,52.74,90,100,4.74,overcast clouds
558,Belle Fourche,US,44.67,-103.85,31.32,53.11,88,100,5.66,overcast clouds
273,Province of Brindisi,IT,40.58,17.67,50.36,53.44,73,97,7.09,overcast clouds
314,Mosquera,CO,4.71,-74.23,53.69,53.69,94,75,5.75,light intensity drizzle
599,Kavajë,AL,41.19,19.56,53.76,53.76,84,96,8.23,overcast clouds
149,Kumul,CN,42.8,93.45,54.21,54.21,12,1,11.81,clear sky
185,Pacific Grove,US,36.62,-121.92,49.5,54.39,94,100,0,mist
589,Sidi Ali,DZ,36.1,0.42,54.46,54.46,54,24,6.73,few clouds
413,Malko Tarnovo,BG,41.98,27.53,54.48,54.48,82,85,24.2,light rain
310,Lebu,CL,-37.62,-73.65,54.82,54.82,92,2,9.98,clear sky
49,Aksu,CN,41.12,80.26,55.06,55.06,24,62,6.44,broken clouds
408,Saint George,BM,32.38,-64.68,55.18,55.18,58,75,9.22,broken clouds
343,Coyhaique,CL,-45.58,-72.07,55.35,55.35,100,100,3.44,light rain
9,Hamilton,BM,32.29,-64.78,55.44,55.44,62,40,9.22,scattered clouds
666,Gazli,UZ,40.13,63.45,55.62,55.62,85,100,14.58,light rain
268,Wajima,JP,37.4,136.9,55.69,55.69,58,2,7.63,clear sky
14,San Miguel,PE,-13.01,-73.98,56.16,56.16,94,96,2.3,overcast clouds
557,Weatherford,US,32.76,-97.8,53.71,56.23,91,18,11.48,few clouds
625,Shahr-e Bābak,IR,30.12,55.12,56.25,56.25,45,53,11.03,broken clouds
635,Hollister,US,36.85,-121.4,50,56.8,97,100,0,mist
423,Rizhao,CN,35.43,119.46,56.84,56.84,60,100,14.03,overcast clouds
644,Hitachi,JP,36.6,140.65,57.07,57.07,51,2,7.7,clear sky
664,Cetraro,IT,39.52,15.94,50.67,57.24,89,100,11.21,overcast clouds
477,Alghero,IT,40.56,8.32,57.29,57.29,88,57,6.91,broken clouds
503,Porto Torres,IT,40.84,8.4,57.38,57.38,71,68,24.72,broken clouds
516,Agadir,MA,30.42,-9.6,57.65,57.65,43,0,2.95,clear sky
105,Lompoc,US,34.64,-120.46,54.59,57.78,83,0,17,clear sky
154,Carbonia,IT,39.17,8.52,57.85,57.85,94,87,11.56,overcast clouds
496,Seydi,TM,39.48,62.91,57.85,57.85,81,100,11.01,light rain
409,Korem,ET,12.51,39.52,57.97,57.97,70,96,4.54,light rain
56,Constitucion,MX,23.99,-104.67,58.17,58.17,39,81,6.04,broken clouds
588,Şabḩā,JO,32.33,36.5,58.32,58.32,29,0,15.59,clear sky
65,Nālūt,LY,30.33,10.85,58.33,58.33,50,25,7.25,scattered clouds
146,Castro,CL,-42.47,-73.77,57.38,58.48,96,100,13.8,light rain
10,Rosarito,MX,32.33,-117.03,55.2,58.48,88,100,7.52,overcast clouds
612,Puga,MX,21.58,-104.82,58.84,58.84,71,19,1.32,few clouds
523,Rincon,US,32.3,-81.24,53.91,58.86,89,0,9.22,clear sky
640,Żurrieq,MT,35.83,14.47,58.51,58.96,82,40,23.02,scattered clouds
30,San Quintín,MX,30.48,-115.95,59.05,59.05,79,100,9.46,overcast clouds
540,Walvis Bay,NA,-22.96,14.51,59.09,59.09,84,8,4.63,clear sky
141,Bandar-e Anzali,IR,37.47,49.46,59.11,59.11,65,1,2.64,clear sky
494,Guozhen,CN,34.37,107.36,59.36,59.36,37,71,13.42,broken clouds
216,Guerrero Negro,MX,27.98,-114.06,59.38,59.38,75,100,18.41,overcast clouds
15,Bulancak,TR,40.94,38.23,59.52,59.52,61,100,8.28,overcast clouds
243,Naco,MX,31.33,-109.95,52.41,59.79,35,95,5.99,overcast clouds
460,Kashgar,CN,39.45,75.98,60.01,60.01,14,15,2.24,dust
662,Salamiyah,SY,35.01,37.05,60.08,60.08,45,9,15.73,clear sky
316,Lagoa,PT,39.05,-27.98,60.15,60.15,93,100,13.58,overcast clouds
29,Ardeşen,TR,41.19,40.99,60.24,60.24,59,100,6.08,overcast clouds
532,Gazojak,TM,41.19,61.4,60.3,60.3,58,100,13.24,overcast clouds
251,Katsuura,JP,35.13,140.3,60.51,60.51,55,0,7.65,clear sky
199,Sayyan,YE,15.17,44.32,60.73,60.73,56,45,3.71,scattered clouds
77,Hermanus,ZA,-34.42,19.23,60.8,60.8,78,66,16.37,light rain
337,Te Anau,NZ,-45.42,167.72,61,61,66,91,6.85,overcast clouds
137,Teguise,ES,29.06,-13.56,61.02,61.02,88,0,16.11,clear sky
12,Lüderitz,NA,-26.65,15.16,61.25,61.25,79,0,12.48,clear sky
54,Bluff,NZ,-46.6,168.33,61.68,61.68,74,67,24.43,broken clouds
565,Jumla,NP,29.27,82.18,61.86,61.86,33,4,6.91,clear sky
647,Camacha,PT,33.08,-16.33,62.02,62.02,82,40,9.22,scattered clouds
67,Cape Town,ZA,-33.93,18.42,59.92,62.11,92,75,5.75,broken clouds
512,Henties Bay,NA,-22.12,14.28,62.19,62.19,91,50,7.72,scattered clouds
350,San Ignacio,PE,-5.15,-79,62.26,62.26,98,100,0.74,light rain
71,Kaitangata,NZ,-46.28,169.85,62.53,62.53,69,100,3.24,overcast clouds
296,Warrington,US,30.38,-87.28,55.18,62.65,83,20,5.75,few clouds
107,Saldanha,ZA,-33.01,17.94,62.65,62.65,84,100,3.71,overcast clouds
368,Buraidah,SA,26.33,43.98,62.71,62.71,39,0,12.3,clear sky
79,Ribeira Grande,PT,38.52,-28.7,62.78,62.78,96,100,15.01,light rain
258,Kruisfontein,ZA,-34,24.73,62.89,62.89,75,38,14.38,scattered clouds
469,Portoferraio,IT,42.81,10.31,58.01,62.98,75,99,25.55,overcast clouds
352,Vila Franca do Campo,PT,37.72,-25.43,63.01,63.01,97,100,14.83,heavy intensity rain
508,Hokitika,NZ,-42.72,170.97,63.05,63.05,74,81,9.08,broken clouds
32,Bredasdorp,ZA,-34.53,20.04,63.19,63.19,78,52,15.86,broken clouds
471,Agüimes,ES,27.91,-15.45,59.67,63.23,77,20,18.41,few clouds
568,Benghazi,LY,32.12,20.07,63.72,63.72,78,2,11.39,clear sky
341,Navolato,MX,24.77,-107.69,63.79,63.79,52,41,5.99,scattered clouds
421,Luena,AO,-11.78,19.92,63.81,63.81,95,100,4.61,light rain
430,Nurota,UZ,40.56,65.69,63.93,63.93,56,100,15.08,overcast clouds
547,Sakakah,SA,29.97,40.21,63.97,63.97,30,0,12.19,clear sky
376,Shimoda,JP,34.67,138.95,62.96,64.11,55,0,8.68,clear sky
122,Coquimbo,CL,-29.95,-71.34,64.13,64.13,88,100,4.61,overcast clouds
147,Nagato,JP,34.38,131.2,64.27,64.27,64,2,4.21,clear sky
165,Bethanien,NA,-26.5,17.16,64.29,64.29,34,0,2.28,clear sky
257,Tuatapere,NZ,-46.13,167.68,64.38,64.38,61,93,7.14,overcast clouds
261,Shingū,JP,33.73,135.98,64.47,64.47,66,0,8.34,clear sky
253,Riyadh,SA,24.69,46.72,64.54,64.54,45,76,12.93,broken clouds
4,Portland,AU,-38.33,141.6,64.78,64.78,59,25,8.34,scattered clouds
491,San Vicente,AR,-26.62,-54.13,64.78,64.78,80,3,1.5,clear sky
162,Kansanshi,ZM,-12.1,26.43,64.8,64.8,93,71,1.54,light rain
321,Dawlatabad,AF,36.41,64.91,64.89,64.89,54,100,12.84,overcast clouds
59,Itoigawa,JP,37.03,137.85,65.01,65.01,56,1,6.35,clear sky
55,Kapaa,US,22.08,-159.32,63.48,65.12,84,80,2.66,broken clouds
345,Lalibela,ET,12.03,39.03,65.14,65.14,49,39,0.56,scattered clouds
112,Shizilu,CN,35.17,118.83,65.16,65.16,35,100,13.2,overcast clouds
275,Kambove,CD,-10.88,26.6,65.19,65.19,93,98,2.21,overcast clouds
200,Tolaga Bay,NZ,-38.37,178.3,65.37,65.37,78,16,8.9,few clouds
41,Necochea,AR,-38.55,-58.74,65.7,65.7,97,75,9.24,broken clouds
228,Jobabo,CU,20.97,-76.3,66.22,66.22,76,0,4.7,clear sky
605,Abbeville,US,29.97,-92.13,61.09,66.22,94,100,4.61,mist
448,Monteagudo,BO,-19.82,-63.98,66.58,66.58,96,54,1.86,broken clouds
